fide_id,name,federation,gender,title,yob,Attribute,Value
400041,"Adams, Michael",ENG,M,GM,1971,blitz,2742
4152956,"Vitiugov, Nikita",RUS,M,GM,1987,standard,2715
4152956,"Vitiugov, Nikita",RUS,M,GM,1987,rapid,2628
4152956,"Vitiugov, Nikita",RUS,M,GM,1987,blitz,2673
4102142,"Svidler, Peter",RUS,M,GM,1976,standard,2714
4102142,"Svidler, Peter",RUS,M,GM,1976,rapid,2742
4102142,"Svidler, Peter",RUS,M,GM,1976,blitz,2754
2205530,"Vallejo Pons, Francisco",ESP,M,GM,1982,standard,2710
2205530,"Vallejo Pons, Francisco",ESP,M,GM,1982,rapid,2656
2205530,"Vallejo Pons, Francisco",ESP,M,GM,1982,blitz,2643
24126055,"Dubov, Daniil",RUS,M,GM,1996,standard,2710
24126055,"Dubov, Daniil",RUS,M,GM,1996,rapid,2770
24126055,"Dubov, Daniil",RUS,M,GM,1996,blitz,2722
12401137,"Le, Quang Liem",VIE,M,GM,1991,standard,2709
12401137,"Le, Quang Liem",VIE,M,GM,1991,rapid,2744
12401137,"Le, Quang Liem",VIE,M,GM,1991,blitz,2690
2047640,"Xiong, Jeffery",USA,M,GM,2000,standard,2709
2047640,"Xiong, Jeffery",USA,M,GM,2000,rapid,2730
2047640,"Xiong, Jeffery",USA,M,GM,2000,blitz,2724
8603820,"Yu, Yangyi",CHN,M,GM,1994,standard,2709
8603820,"Yu, Yangyi",CHN,M,GM,1994,rapid,2738
8603820,"Yu, Yangyi",CHN,M,GM,1994,blitz,2808
24101605,"Artemiev, Vladislav",RUS,M,GM,1998,standard,2709
24101605,"Artemiev, Vladislav",RUS,M,GM,1998,rapid,2757
24101605,"Artemiev, Vladislav",RUS,M,GM,1998,blitz,2783
4147235,"Tomashevsky, Evgeny",RUS,M,GM,1987,standard,2706
4147235,"Tomashevsky, Evgeny",RUS,M,GM,1987,rapid,2681
4147235,"Tomashevsky, Evgeny",RUS,M,GM,1987,blitz,2695
1118358,"Wojtaszek, Radoslaw",POL,M,GM,1987,standard,2705
1118358,"Wojtaszek, Radoslaw",POL,M,GM,1987,rapid,2703
1118358,"Wojtaszek, Radoslaw",POL,M,GM,1987,blitz,2730
8601445,"Bu, Xiangzhi",CHN,M,GM,1985,standard,2705
8601445,"Bu, Xiangzhi",CHN,M,GM,1985,rapid,2642
8601445,"Bu, Xiangzhi",CHN,M,GM,1985,blitz,2760
14109182,"Kryvoruchko, Yuriy",UKR,M,GM,1986,standard,2699
14109182,"Kryvoruchko, Yuriy",UKR,M,GM,1986,rapid,2697
14109182,"Kryvoruchko, Yuriy",UKR,M,GM,1986,blitz,2617
309095,"Navara, David",CZE,M,GM,1985,standard,2697
309095,"Navara, David",CZE,M,GM,1985,rapid,2717
309095,"Navara, David",CZE,M,GM,1985,blitz,2758
4135539,"Alekseenko, Kirill",RUS,M,GM,1997,standard,2696
4135539,"Alekseenko, Kirill",RUS,M,GM,1997,rapid,2661
4135539,"Alekseenko, Kirill",RUS,M,GM,1997,blitz,2580
400173,"Sadler, Matthew D",ENG,M,GM,1974,standard,2694
400173,"Sadler, Matthew D",ENG,M,GM,1974,rapid,2673
400173,"Sadler, Matthew D",ENG,M,GM,1974,blitz,2646
10601457,"Amin, Bassem",EGY,M,GM,1988,standard,2693
10601457,"Amin, Bassem",EGY,M,GM,1988,rapid,2608
10601457,"Amin, Bassem",EGY,M,GM,1988,blitz,2617
14105730,"Korobov, Anton",UKR,M,GM,1985,standard,2692
14105730,"Korobov, Anton",UKR,M,GM,1985,rapid,2794
14105730,"Korobov, Anton",UKR,M,GM,1985,blitz,2755
2004887,"Shankland, Sam",USA,M,GM,1991,standard,2691
2004887,"Shankland, Sam",USA,M,GM,1991,rapid,2609
2004887,"Shankland, Sam",USA,M,GM,1991,blitz,2704
24107581,"Predke, Alexandr",RUS,M,GM,1994,standard,2690
24107581,"Predke, Alexandr",RUS,M,GM,1994,rapid,2633
24107581,"Predke, Alexandr",RUS,M,GM,1994,blitz,2642
4168003,"Matlakov, Maxim",RUS,M,GM,1991,standard,2688
4168003,"Matlakov, Maxim",RUS,M,GM,1991,rapid,2667
4168003,"Matlakov, Maxim",RUS,M,GM,1991,blitz,2760
702293,"Almasi, Zoltan",HUN,M,GM,1976,standard,2687
702293,"Almasi, Zoltan",HUN,M,GM,1976,rapid,2621
702293,"Almasi, Zoltan",HUN,M,GM,1976,blitz,2585
24130737,"Fedoseev, Vladimir",RUS,M,GM,1995,standard,2687
24130737,"Fedoseev, Vladimir",RUS,M,GM,1995,rapid,2688
24130737,"Fedoseev, Vladimir",RUS,M,GM,1995,blitz,2756
14109530,"Areshchenko, Alexander",UKR,M,GM,1986,standard,2687
14109530,"Areshchenko, Alexander",UKR,M,GM,1986,rapid,2622
14109530,"Areshchenko, Alexander",UKR,M,GM,1986,blitz,2615
